fim_projeto,prazo_dias_corridos,RH,FINANCE,SUPPLY_CHAIN,COMERCIAL_2
18/11/2026,255,Squad 3,Squad 5,Squad 2,Squad 3
18/11/2026,255,Squad 3,Squad 5,Squad 5,Squad 3
19/11/2026,256,Squad 2,Squad 2,Squad 3,Squad 4
19/11/2026,256,Squad 2,Squad 2,Squad 5,Squad 4
19/11/2026,256,Squad 2,Squad 3,Squad 5,Squad 2
19/11/2026,256,Squad 2,Squad 3,Squad 5,Squad 4
19/11/2026,256,Squad 2,Squad 4,Squad 3,Squad 2
19/11/2026,256,Squad 2,Squad 4,Squad 5,Squad 2
19/11/2026,256,Squad 2,Squad 5,Squad 3,Squad 2
19/11/2026,256,Squad 2,Squad 5,Squad 3,Squad 4
19/11/2026,256,Squad 2,Squad 5,Squad 5,Squad 2
19/11/2026,256,Squad 2,Squad 5,Squad 5,Squad 4
19/11/2026,256,Squad 3,Squad 2,Squad 5,Squad 4
19/11/2026,256,Squad 3,Squad 3,Squad 2,Squad 4
19/11/2026,256,Squad 3,Squad 3,Squad 5,Squad 4
19/11/2026,256,Squad 3,Squad 5,Squad 2,Squad 4
19/11/2026,256,Squad 3,Squad 5,Squad 5,Squad 4
19/11/2026,256,Squad 5,Squad 1,Squad 5,Squad 2
19/11/2026,256,Squad 5,Squad 1,Squad 5,Squad 3
19/11/2026,256,Squad 5,Squad 2,Squad 3,Squad 4
19/11/2026,256,Squad 5,Squad 2,Squad 5,Squad 2
19/11/2026,256,Squad 5,Squad 2,Squad 5,Squad 3
19/11/2026,256,Squad 5,Squad 2,Squad 5,Squad 4
19/11/2026,256,Squad 5,Squad 3,Squad 2,Squad 4
19/11/2026,256,Squad 5,Squad 3,Squad 5,Squad 2
19/11/2026,256,Squad 5,Squad 3,Squad 5,Squad 3
19/11/2026,256,Squad 5,Squad 3,Squad 5,Squad 4
19/11/2026,256,Squad 5,Squad 4,Squad 5,Squad 2
19/11/2026,256,Squad 5,Squad 4,Squad 5,Squad 3
19/11/2026,256,Squad 5,Squad 5,Squad 2,Squad 4
19/11/2026,256,Squad 5,Squad 5,Squad 3,Squad 4
24/11/2026,261,Squad 5,Squad 5,Squad 2,Squad 5
24/11/2026,261,Squad 5,Squad 5,Squad 3,Squad 5
25/11/2026,262,Squad 5,Squad 1,Squad 2,Squad 5
25/11/2026,262,Squad 5,Squad 1,Squad 3,Squad 5
07/12/2026,274,Squad 2,Squad 3,Squad 3,Squad 2
07/12/2026,274,Squad 2,Squad 3,Squad 3,Squad 4
07/12/2026,274,Squad 2,Squad 3,Squad 3,Squad 5
07/12/2026,274,Squad 5,Squad 3,Squad 3,Squad 2
07/12/2026,274,Squad 5,Squad 3,Squad 3,Squad 4
07/12/2026,274,Squad 5,Squad 3,Squad 3,Squad 5
10/12/2026,277,Squad 1,Squad 2,Squad 2,Squad 3
10/12/2026,277,Squad 1,Squad 2,Squad 2,Squad 5
10/12/2026,277,Squad 1,Squad 2,Squad 3,Squad 5
10/12/2026,277,Squad 1,Squad 2,Squad 5,Squad 3
10/12/2026,277,Squad 1,Squad 3,Squad 2,Squad 5
10/12/2026,277,Squad 1,Squad 3,Squad 3,Squad 2
10/12/2026,277,Squad 1,Squad 3,Squad 3,Squad 5
10/12/2026,277,Squad 1,Squad 3,Squad 5,Squad 2
10/12/2026,277,Squad 1,Squad 4,Squad 2,Squad 3
10/12/2026,277,Squad 1,Squad 4,Squad 2,Squad 5
10/12/2026,277,Squad 1,Squad 4,Squad 3,Squad 2
10/12/2026,277,Squad 1,Squad 4,Squad 3,Squad 5
10/12/2026,277,Squad 1,Squad 4,Squad 5,Squad 2
10/12/2026,277,Squad 1,Squad 4,Squad 5,Squad 3
10/12/2026,277,Squad 1,Squad 5,Squad 2,Squad 3
10/12/2026,277,Squad 1,Squad 5,Squad 2,Squad 5
10/12/2026,277,Squad 1,Squad 5,Squad 3,Squad 2
10/12/2026,277,Squad 1,Squad 5,Squad 3,Squad 5
10/12/2026,277,Squad 1,Squad 5,Squad 5,Squad 2
10/12/2026,277,Squad 1,Squad 5,Squad 5,Squad 3
10/12/2026,277,Squad 3,Squad 2,Squad 2,Squad 3
10/12/2026,277,Squad 3,Squad 2,Squad 2,Squad 4
10/12/2026,277,Squad 3,Squad 2,Squad 2,Squad 5
10/12/2026,277,Squad 5,Squad 2,Squad 2,Squad 3
10/12/2026,277,Squad 5,Squad 2,Squad 2,Squad 4
10/12/2026,277,Squad 5,Squad 2,Squad 2,Squad 5
11/12/2026,278,Squad 4,Squad 1,Squad 2,Squad 3
11/12/2026,278,Squad 4,Squad 1,Squad 2,Squad 5
11/12/2026,278,Squad 4,Squad 1,Squad 3,Squad 2
11/12/2026,278,Squad 4,Squad 1,Squad 3,Squad 5
11/12/2026,278,Squad 4,Squad 1,Squad 5,Squad 2
11/12/2026,278,Squad 4,Squad 1,Squad 5,Squad 3
11/12/2026,278,Squad 4,Squad 2,Squad 2,Squad 3
11/12/2026,278,Squad 4,Squad 2,Squad 2,Squad 5
11/12/2026,278,Squad 4,Squad 2,Squad 3,Squad 2
11/12/2026,278,Squad 4,Squad 2,Squad 3,Squad 5
11/12/2026,278,Squad 4,Squad 2,Squad 5,Squad 2
11/12/2026,278,Squad 4,Squad 2,Squad 5,Squad 3
11/12/2026,278,Squad 4,Squad 3,Squad 2,Squad 3
11/12/2026,278,Squad 4,Squad 3,Squad 2,Squad 5
11/12/2026,278,Squad 4,Squad 3,Squad 3,Squad 2
11/12/2026,278,Squad 4,Squad 3,Squad 3,Squad 5
11/12/2026,278,Squad 4,Squad 3,Squad 5,Squad 2
11/12/2026,278,Squad 4,Squad 3,Squad 5,Squad 3
11/12/2026,278,Squad 4,Squad 5,Squad 2,Squad 3
11/12/2026,278,Squad 4,Squad 5,Squad 2,Squad 5
11/12/2026,278,Squad 4,Squad 5,Squad 3,Squad 2
11/12/2026,278,Squad 4,Squad 5,Squad 3,Squad 5
11/12/2026,278,Squad 4,Squad 5,Squad 5,Squad 2
11/12/2026,278,Squad 4,Squad 5,Squad 5,Squad 3
18/12/2026,285,Squad 1,Squad 3,Squad 2,Squad 3
18/12/2026,285,Squad 1,Squad 3,Squad 5,Squad 3
18/12/2026,285,Squad 3,Squad 1,Squad 2,Squad 3
18/12/2026,285,Squad 3,Squad 1,Squad 5,Squad 3
18/12/2026,285,Squad 3,Squad 3,Squad 2,Squad 3
18/12/2026,285,Squad 3,Squad 3,Squad 5,Squad 3
21/12/2026,288,Squad 1,Squad 2,Squad 3,Squad 2
21/12/2026,288,Squad 1,Squad 2,Squad 5,Squad 2
21/12/2026,288,Squad 2,Squad 1,Squad 3,Squad 2
21/12/2026,288,Squad 2,Squad 1,Squad 5,Squad 2
21/12/2026,288,Squad 2,Squad 2,Squad 3,Squad 2
21/12/2026,288,Squad 2,Squad 2,Squad 5,Squad 2
22/12/2026,289,Squad 2,Squad 1,Squad 3,Squad 4
22/12/2026,289,Squad 2,Squad 1,Squad 5,Squad 4
22/12/2026,289,Squad 2,Squad 4,Squad 3,Squad 4
22/12/2026,289,Squad 2,Squad 4,Squad 5,Squad 4
22/12/2026,289,Squad 3,Squad 1,Squad 2,Squad 4
22/12/2026,289,Squad 3,Squad 1,Squad 5,Squad 4
22/12/2026,289,Squad 3,Squad 4,Squad 2,Squad 4
22/12/2026,289,Squad 3,Squad 4,Squad 5,Squad 4
22/12/2026,289,Squad 5,Squad 1,Squad 2,Squad 4
22/12/2026,289,Squad 5,Squad 1,Squad 3,Squad 4
22/12/2026,289,Squad 5,Squad 1,Squad 5,Squad 4
22/12/2026,289,Squad 5,Squad 4,Squad 2,Squad 4
22/12/2026,289,Squad 5,Squad 4,Squad 3,Squad 4
22/12/2026,289,Squad 5,Squad 4,Squad 5,Squad 4
08/01/2027,306,Squad 1,Squad 2,Squad 2,Squad 4
08/01/2027,306,Squad 1,Squad 2,Squad 3,Squad 4
08/01/2027,306,Squad 1,Squad 2,Squad 5,Squad 4
08/01/2027,306,Squad 1,Squad 3,Squad 2,Squad 4
08/01/2027,306,Squad 1,Squad 3,Squad 3,Squad 4
08/01/2027,306,Squad 1,Squad 3,Squad 5,Squad 4
08/01/2027,306,Squad 1,Squad 5,Squad 2,Squad 4
08/01/2027,306,Squad 1,Squad 5,Squad 3,Squad 4
08/01/2027,306,Squad 1,Squad 5,Squad 5,Squad 4
08/01/2027,306,Squad 4,Squad 2,Squad 2,Squad 4
08/01/2027,306,Squad 4,Squad 2,Squad 3,Squad 4
08/01/2027,306,Squad 4,Squad 2,Squad 5,Squad 4
08/01/2027,306,Squad 4,Squad 3,Squad 2,Squad 4
08/01/2027,306,Squad 4,Squad 3,Squad 3,Squad 4
08/01/2027,306,Squad 4,Squad 3,Squad 5,Squad 4
08/01/2027,306,Squad 4,Squad 5,Squad 2,Squad 4
08/01/2027,306,Squad 4,Squad 5,Squad 3,Squad 4
08/01/2027,306,Squad 4,Squad 5,Squad 5,Squad 4
11/01/2027,309,Squad 3,Squad 1,Squad 3,Squad 2
11/01/2027,309,Squad 3,Squad 1,Squad 3,Squad 4
11/01/2027,309,Squad 3,Squad 1,Squad 3,Squad 5
11/01/2027,309,Squad 3,Squad 2,Squad 3,Squad 2
11/01/2027,309,Squad 3,Squad 2,Squad 3,Squad 4
11/01/2027,309,Squad 3,Squad 2,Squad 3,Squad 5
11/01/2027,309,Squad 3,Squad 4,Squad 3,Squad 2
11/01/2027,309,Squad 3,Squad 4,Squad 3,Squad 4
11/01/2027,309,Squad 3,Squad 4,Squad 3,Squad 5
11/01/2027,309,Squad 3,Squad 5,Squad 3,Squad 2
11/01/2027,309,Squad 3,Squad 5,Squad 3,Squad 4
11/01/2027,309,Squad 3,Squad 5,Squad 3,Squad 5
14/01/2027,312,Squad 1,Squad 2,Squad 4,Squad 2
14/01/2027,312,Squad 1,Squad 2,Squad 4,Squad 3
14/01/2027,312,Squad 1,Squad 2,Squad 4,Squad 5
14/01/2027,312,Squad 1,Squad 3,Squad 4,Squad 2
14/01/2027,312,Squad 1,Squad 3,Squad 4,Squad 3
14/01/2027,312,Squad 1,Squad 3,Squad 4,Squad 5
14/01/2027,312,Squad 1,Squad 5,Squad 4,Squad 2
14/01/2027,312,Squad 1,Squad 5,Squad 4,Squad 3
14/01/2027,312,Squad 1,Squad 5,Squad 4,Squad 5
14/01/2027,312,Squad 2,Squad 1,Squad 2,Squad 3
14/01/2027,312,Squad 2,Squad 1,Squad 2,Squad 4
14/01/2027,312,Squad 2,Squad 1,Squad 2,Squad 5
14/01/2027,312,Squad 2,Squad 1,Squad 4,Squad 2
14/01/2027,312,Squad 2,Squad 1,Squad 4,Squad 3
14/01/2027,312,Squad 2,Squad 1,Squad 4,Squad 5
14/01/2027,312,Squad 2,Squad 2,Squad 4,Squad 2
14/01/2027,312,Squad 2,Squad 2,Squad 4,Squad 3
14/01/2027,312,Squad 2,Squad 2,Squad 4,Squad 5
14/01/2027,312,Squad 2,Squad 2,Squad 5,Squad 5
14/01/2027,312,Squad 2,Squad 3,Squad 2,Squad 3
14/01/2027,312,Squad 2,Squad 3,Squad 2,Squad 4
14/01/2027,312,Squad 2,Squad 3,Squad 2,Squad 5
14/01/2027,312,Squad 2,Squad 3,Squad 4,Squad 2
14/01/2027,312,Squad 2,Squad 3,Squad 4,Squad 3
14/01/2027,312,Squad 2,Squad 3,Squad 4,Squad 5
14/01/2027,312,Squad 2,Squad 3,Squad 5,Squad 5
14/01/2027,312,Squad 2,Squad 4,Squad 2,Squad 3
14/01/2027,312,Squad 2,Squad 4,Squad 2,Squad 4
14/01/2027,312,Squad 2,Squad 4,Squad 2,Squad 5
14/01/2027,312,Squad 2,Squad 4,Squad 5,Squad 5
14/01/2027,312,Squad 2,Squad 5,Squad 2,Squad 3
14/01/2027,312,Squad 2,Squad 5,Squad 2,Squad 4
14/01/2027,312,Squad 2,Squad 5,Squad 2,Squad 5
14/01/2027,312,Squad 2,Squad 5,Squad 4,Squad 2
14/01/2027,312,Squad 2,Squad 5,Squad 4,Squad 3
14/01/2027,312,Squad 2,Squad 5,Squad 4,Squad 5
14/01/2027,312,Squad 3,Squad 1,Squad 4,Squad 2
14/01/2027,312,Squad 3,Squad 1,Squad 4,Squad 3
14/01/2027,312,Squad 3,Squad 1,Squad 4,Squad 5
14/01/2027,312,Squad 3,Squad 2,Squad 4,Squad 2
14/01/2027,312,Squad 3,Squad 2,Squad 4,Squad 3
14/01/2027,312,Squad 3,Squad 2,Squad 4,Squad 5
14/01/2027,312,Squad 3,Squad 2,Squad 5,Squad 5
14/01/2027,312,Squad 3,Squad 3,Squad 4,Squad 2
14/01/2027,312,Squad 3,Squad 3,Squad 4,Squad 3
14/01/2027,312,Squad 3,Squad 3,Squad 4,Squad 5
14/01/2027,312,Squad 3,Squad 3,Squad 5,Squad 5
14/01/2027,312,Squad 3,Squad 4,Squad 5,Squad 5
14/01/2027,312,Squad 3,Squad 5,Squad 4,Squad 2
14/01/2027,312,Squad 3,Squad 5,Squad 4,Squad 3
14/01/2027,312,Squad 3,Squad 5,Squad 4,Squad 5
14/01/2027,312,Squad 4,Squad 2,Squad 5,Squad 5
14/01/2027,312,Squad 4,Squad 3,Squad 5,Squad 5
14/01/2027,312,Squad 5,Squad 1,Squad 4,Squad 2
14/01/2027,312,Squad 5,Squad 1,Squad 4,Squad 3
14/01/2027,312,Squad 5,Squad 1,Squad 4,Squad 5
14/01/2027,312,Squad 5,Squad 2,Squad 4,Squad 2
14/01/2027,312,Squad 5,Squad 2,Squad 4,Squad 3
14/01/2027,312,Squad 5,Squad 2,Squad 4,Squad 5
14/01/2027,312,Squad 5,Squad 3,Squad 4,Squad 2
14/01/2027,312,Squad 5,Squad 3,Squad 4,Squad 3
14/01/2027,312,Squad 5,Squad 3,Squad 4,Squad 5
14/01/2027,312,Squad 5,Squad 5,Squad 4,Squad 2
14/01/2027,312,Squad 5,Squad 5,Squad 4,Squad 3
14/01/2027,312,Squad 5,Squad 5,Squad 4,Squad 5
15/01/2027,313,Squad 1,Squad 2,Squad 5,Squad 5
15/01/2027,313,Squad 1,Squad 3,Squad 5,Squad 5
15/01/2027,313,Squad 1,Squad 4,Squad 5,Squad 5
15/01/2027,313,Squad 2,Squad 1,Squad 5,Squad 5
15/01/2027,313,Squad 2,Squad 2,Squad 1,Squad 5
15/01/2027,313,Squad 2,Squad 3,Squad 1,Squad 5
15/01/2027,313,Squad 2,Squad 4,Squad 1,Squad 5
15/01/2027,313,Squad 3,Squad 1,Squad 5,Squad 5
15/01/2027,313,Squad 3,Squad 2,Squad 1,Squad 5
15/01/2027,313,Squad 3,Squad 3,Squad 1,Squad 5
15/01/2027,313,Squad 3,Squad 4,Squad 1,Squad 5
15/01/2027,313,Squad 4,Squad 1,Squad 5,Squad 5
15/01/2027,313,Squad 4,Squad 2,Squad 1,Squad 5
15/01/2027,313,Squad 4,Squad 3,Squad 1,Squad 5
20/01/2027,318,Squad 5,Squad 5,Squad 5,Squad 2
20/01/2027,318,Squad 5,Squad 5,Squad 5,Squad 3
20/01/2027,318,Squad 5,Squad 5,Squad 5,Squad 4
05/02/2027,334,Squad 1,Squad 4,Squad 2,Squad 4
05/02/2027,334,Squad 1,Squad 4,Squad 3,Squad 4
05/02/2027,334,Squad 1,Squad 4,Squad 5,Squad 4
05/02/2027,334,Squad 4,Squad 1,Squad 2,Squad 4
05/02/2027,334,Squad 4,Squad 1,Squad 3,Squad 4
05/02/2027,334,Squad 4,Squad 1,Squad 5,Squad 4
09/02/2027,338,Squad 1,Squad 1,Squad 2,Squad 3
09/02/2027,338,Squad 1,Squad 1,Squad 2,Squad 4
09/02/2027,338,Squad 1,Squad 1,Squad 2,Squad 5
09/02/2027,338,Squad 1,Squad 1,Squad 3,Squad 2
09/02/2027,338,Squad 1,Squad 1,Squad 3,Squad 4
09/02/2027,338,Squad 1,Squad 1,Squad 3,Squad 5
09/02/2027,338,Squad 1,Squad 1,Squad 4,Squad 2
09/02/2027,338,Squad 1,Squad 1,Squad 4,Squad 3
09/02/2027,338,Squad 1,Squad 1,Squad 4,Squad 5
09/02/2027,338,Squad 1,Squad 1,Squad 5,Squad 2
09/02/2027,338,Squad 1,Squad 1,Squad 5,Squad 3
09/02/2027,338,Squad 1,Squad 1,Squad 5,Squad 4
09/02/2027,338,Squad 1,Squad 1,Squad 5,Squad 5
09/02/2027,338,Squad 2,Squad 2,Squad 3,Squad 3
09/02/2027,338,Squad 2,Squad 4,Squad 3,Squad 3
09/02/2027,338,Squad 2,Squad 5,Squad 3,Squad 3
09/02/2027,338,Squad 4,Squad 2,Squad 3,Squad 3
09/02/2027,338,Squad 4,Squad 4,Squad 1,Squad 5
09/02/2027,338,Squad 4,Squad 4,Squad 2,Squad 3
09/02/2027,338,Squad 4,Squad 4,Squad 2,Squad 4
09/02/2027,338,Squad 4,Squad 4,Squad 2,Squad 5
09/02/2027,338,Squad 4,Squad 4,Squad 3,Squad 2
09/02/2027,338,Squad 4,Squad 4,Squad 3,Squad 3
09/02/2027,338,Squad 4,Squad 4,Squad 3,Squad 4
09/02/2027,338,Squad 4,Squad 4,Squad 3,Squad 5
09/02/2027,338,Squad 4,Squad 4,Squad 5,Squad 2
09/02/2027,338,Squad 4,Squad 4,Squad 5,Squad 3
09/02/2027,338,Squad 4,Squad 4,Squad 5,Squad 4
09/02/2027,338,Squad 4,Squad 4,Squad 5,Squad 5
09/02/2027,338,Squad 4,Squad 5,Squad 3,Squad 3
09/02/2027,338,Squad 5,Squad 2,Squad 3,Squad 3
09/02/2027,338,Squad 5,Squad 4,Squad 3,Squad 3
09/02/2027,338,Squad 5,Squad 5,Squad 3,Squad 3
10/02/2027,339,Squad 2,Squad 2,Squad 1,Squad 3
10/02/2027,339,Squad 2,Squad 4,Squad 1,Squad 3
10/02/2027,339,Squad 2,Squad 5,Squad 1,Squad 3
10/02/2027,339,Squad 4,Squad 2,Squad 1,Squad 3
10/02/2027,339,Squad 4,Squad 4,Squad 1,Squad 3
10/02/2027,339,Squad 4,Squad 5,Squad 1,Squad 3
10/02/2027,339,Squad 5,Squad 2,Squad 1,Squad 3
10/02/2027,339,Squad 5,Squad 4,Squad 1,Squad 3
10/02/2027,339,Squad 5,Squad 5,Squad 1,Squad 3
11/02/2027,340,Squad 3,Squad 3,Squad 1,Squad 2
11/02/2027,340,Squad 3,Squad 3,Squad 2,Squad 2
11/02/2027,340,Squad 3,Squad 4,Squad 1,Squad 2
11/02/2027,340,Squad 3,Squad 4,Squad 2,Squad 2
11/02/2027,340,Squad 3,Squad 5,Squad 1,Squad 2
11/02/2027,340,Squad 3,Squad 5,Squad 2,Squad 2
11/02/2027,340,Squad 4,Squad 3,Squad 1,Squad 2
11/02/2027,340,Squad 4,Squad 3,Squad 2,Squad 2
11/02/2027,340,Squad 4,Squad 4,Squad 1,Squad 2
11/02/2027,340,Squad 4,Squad 4,Squad 2,Squad 2
11/02/2027,340,Squad 4,Squad 5,Squad 1,Squad 2
11/02/2027,340,Squad 4,Squad 5,Squad 2,Squad 2
11/02/2027,340,Squad 5,Squad 3,Squad 1,Squad 2
11/02/2027,340,Squad 5,Squad 3,Squad 2,Squad 2
11/02/2027,340,Squad 5,Squad 4,Squad 1,Squad 2
11/02/2027,340,Squad 5,Squad 4,Squad 2,Squad 2
11/02/2027,340,Squad 5,Squad 5,Squad 1,Squad 2
11/02/2027,340,Squad 5,Squad 5,Squad 2,Squad 2
15/02/2027,344,Squad 2,Squad 5,Squad 1,Squad 5
15/02/2027,344,Squad 2,Squad 5,Squad 5,Squad 5
15/02/2027,344,Squad 3,Squad 5,Squad 1,Squad 5
15/02/2027,344,Squad 3,Squad 5,Squad 5,Squad 5
15/02/2027,344,Squad 4,Squad 5,Squad 1,Squad 5
15/02/2027,344,Squad 4,Squad 5,Squad 5,Squad 5
03/03/2027,360,Squad 5,Squad 2,Squad 5,Squad 5
03/03/2027,360,Squad 5,Squad 3,Squad 5,Squad 5
03/03/2027,360,Squad 5,Squad 4,Squad 5,Squad 5
04/03/2027,361,Squad 5,Squad 2,Squad 1,Squad 5
04/03/2027,361,Squad 5,Squad 3,Squad 1,Squad 5
04/03/2027,361,Squad 5,Squad 4,Squad 1,Squad 5
08/03/2027,365,Squad 1,Squad 1,Squad 3,Squad 3
08/03/2027,365,Squad 1,Squad 2,Squad 3,Squad 3
08/03/2027,365,Squad 1,Squad 4,Squad 3,Squad 3
08/03/2027,365,Squad 1,Squad 5,Squad 3,Squad 3
08/03/2027,365,Squad 2,Squad 1,Squad 3,Squad 3
08/03/2027,365,Squad 4,Squad 1,Squad 3,Squad 3
08/03/2027,365,Squad 5,Squad 1,Squad 3,Squad 3
11/03/2027,368,Squad 1,Squad 1,Squad 2,Squad 2
11/03/2027,368,Squad 1,Squad 3,Squad 2,Squad 2
11/03/2027,368,Squad 1,Squad 4,Squad 2,Squad 2
11/03/2027,368,Squad 1,Squad 5,Squad 2,Squad 2
11/03/2027,368,Squad 2,Squad 3,Squad 1,Squad 3
11/03/2027,368,Squad 2,Squad 3,Squad 3,Squad 3
11/03/2027,368,Squad 3,Squad 1,Squad 2,Squad 2
11/03/2027,368,Squad 3,Squad 3,Squad 3,Squad 2
11/03/2027,368,Squad 3,Squad 3,Squad 3,Squad 4
11/03/2027,368,Squad 3,Squad 3,Squad 3,Squad 5
11/03/2027,368,Squad 4,Squad 1,Squad 2,Squad 2
11/03/2027,368,Squad 4,Squad 3,Squad 1,Squad 3
11/03/2027,368,Squad 4,Squad 3,Squad 3,Squad 3
11/03/2027,368,Squad 5,Squad 1,Squad 2,Squad 2
11/03/2027,368,Squad 5,Squad 3,Squad 1,Squad 3
11/03/2027,368,Squad 5,Squad 3,Squad 3,Squad 3
12/03/2027,369,Squad 3,Squad 2,Squad 1,Squad 2
12/03/2027,369,Squad 3,Squad 2,Squad 2,Squad 2
12/03/2027,369,Squad 4,Squad 2,Squad 1,Squad 2
12/03/2027,369,Squad 4,Squad 2,Squad 2,Squad 2
12/03/2027,369,Squad 5,Squad 2,Squad 1,Squad 2
12/03/2027,369,Squad 5,Squad 2,Squad 2,Squad 2
15/03/2027,372,Squad 2,Squad 1,Squad 1,Squad 3
15/03/2027,372,Squad 2,Squad 1,Squad 1,Squad 5
15/03/2027,372,Squad 2,Squad 2,Squad 2,Squad 3
15/03/2027,372,Squad 2,Squad 2,Squad 2,Squad 4
15/03/2027,372,Squad 2,Squad 2,Squad 2,Squad 5
15/03/2027,372,Squad 3,Squad 1,Squad 1,Squad 2
15/03/2027,372,Squad 3,Squad 1,Squad 1,Squad 5
15/03/2027,372,Squad 4,Squad 1,Squad 1,Squad 2
15/03/2027,372,Squad 4,Squad 1,Squad 1,Squad 3
15/03/2027,372,Squad 4,Squad 1,Squad 1,Squad 5
15/03/2027,372,Squad 5,Squad 1,Squad 1,Squad 2
15/03/2027,372,Squad 5,Squad 1,Squad 1,Squad 3
16/03/2027,373,Squad 1,Squad 4,Squad 4,Squad 2
16/03/2027,373,Squad 1,Squad 4,Squad 4,Squad 3
16/03/2027,373,Squad 1,Squad 4,Squad 4,Squad 5
16/03/2027,373,Squad 2,Squad 4,Squad 4,Squad 2
16/03/2027,373,Squad 2,Squad 4,Squad 4,Squad 3
16/03/2027,373,Squad 2,Squad 4,Squad 4,Squad 5
16/03/2027,373,Squad 3,Squad 4,Squad 4,Squad 2
16/03/2027,373,Squad 3,Squad 4,Squad 4,Squad 3
16/03/2027,373,Squad 3,Squad 4,Squad 4,Squad 5
16/03/2027,373,Squad 5,Squad 4,Squad 4,Squad 2
16/03/2027,373,Squad 5,Squad 4,Squad 4,Squad 3
16/03/2027,373,Squad 5,Squad 4,Squad 4,Squad 5
17/03/2027,374,Squad 1,Squad 5,Squad 5,Squad 5
29/03/2027,386,Squad 3,Squad 2,Squad 3,Squad 3
29/03/2027,386,Squad 3,Squad 4,Squad 3,Squad 3
29/03/2027,386,Squad 3,Squad 5,Squad 3,Squad 3
30/03/2027,387,Squad 2,Squad 3,Squad 2,Squad 2
30/03/2027,387,Squad 2,Squad 4,Squad 2,Squad 2
30/03/2027,387,Squad 2,Squad 5,Squad 2,Squad 2
30/03/2027,387,Squad 3,Squad 2,Squad 1,Squad 3
30/03/2027,387,Squad 3,Squad 4,Squad 1,Squad 3
30/03/2027,387,Squad 3,Squad 5,Squad 1,Squad 3
31/03/2027,388,Squad 2,Squad 2,Squad 1,Squad 4
31/03/2027,388,Squad 2,Squad 2,Squad 4,Squad 4
31/03/2027,388,Squad 2,Squad 3,Squad 1,Squad 2
31/03/2027,388,Squad 2,Squad 3,Squad 1,Squad 4
31/03/2027,388,Squad 2,Squad 3,Squad 4,Squad 4
31/03/2027,388,Squad 2,Squad 4,Squad 1,Squad 2
31/03/2027,388,Squad 2,Squad 5,Squad 1,Squad 2
31/03/2027,388,Squad 2,Squad 5,Squad 1,Squad 4
31/03/2027,388,Squad 2,Squad 5,Squad 4,Squad 4
31/03/2027,388,Squad 3,Squad 2,Squad 1,Squad 4
31/03/2027,388,Squad 3,Squad 2,Squad 4,Squad 4
31/03/2027,388,Squad 3,Squad 3,Squad 1,Squad 4
31/03/2027,388,Squad 3,Squad 3,Squad 4,Squad 4
31/03/2027,388,Squad 3,Squad 5,Squad 1,Squad 4
31/03/2027,388,Squad 3,Squad 5,Squad 4,Squad 4
31/03/2027,388,Squad 5,Squad 2,Squad 1,Squad 4
31/03/2027,388,Squad 5,Squad 2,Squad 4,Squad 4
31/03/2027,388,Squad 5,Squad 3,Squad 1,Squad 4
