chave,titulo,squad,squad_original,lake,fase,recurso,mediana_usada,data_inicio,data_fim,duracao_dias,status_atual
BF3E4-4437,"[SUPPLY CHAIN - 62] Entidade: Planejamento Operacional - Parte 1 (OSS, PSA, Confirmado) - TAMANHO: G",SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 10,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4458,[SUPPLY CHAIN - 63] Entidade: Planejamento Operacional - Parte 2 (Geral e Volume Indústria) - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 3 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4458,[SUPPLY CHAIN - 63] Entidade: Planejamento Operacional - Parte 2 (Geral e Volume Indústria) - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 11,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4473,[SUPPLY CHAIN - 64] Entidade: Planejamento Assegnazione e Emplacamento - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 4 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4473,[SUPPLY CHAIN - 64] Entidade: Planejamento Assegnazione e Emplacamento - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 12,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4488,[SUPPLY CHAIN - 65] Entidade: Lista Mestre Pokey e Produto A13 - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 5 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4488,[SUPPLY CHAIN - 65] Entidade: Lista Mestre Pokey e Produto A13 - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 13,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4503,[SUPPLY CHAIN - 66] Entidade: Dados Atuais e Emissão CO2 - Export Files - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 6 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4503,[SUPPLY CHAIN - 66] Entidade: Dados Atuais e Emissão CO2 - Export Files - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 14,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 7 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4650,[SUPPLY CHAIN - 81] Entidade: Stock History Regional - TAMANHO: M,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 15,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,SQUAD_2,SQUAD_5,SUPPLYCHAIN,Dev,Dev 8 - Squad 2,"7,16 dias",24/05/2026,31/05/2026,7.16,Refined
BF3E4-4674,[SUPPLY CHAIN - 84] Entidade: Estoque OEM e Dealer - TAMANHO: G,SQUAD_5,SQUAD_5,SUPPLYCHAIN,QA,QA - 16,"4,10 dias",31/05/2026,04/06/2026,4.1,Refined
BF3E4-2472,[COMERCIAL - 40] CSI Vendas - DataMart - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 22,"3,54 dias",24/05/2026,24/05/2026,0.0,Test
BF3E4-2616,[COMERCIAL - 51] Emplacamentos Pessoa Física (PF) - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,54 dias",24/05/2026,24/05/2026,0.0,Test
BF3E4-2527,[COMERCIAL - 43] Metadados e Controle - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 22,"3,54 dias",25/05/2026,28/05/2026,3.54,IN DEVELOPMENT
BF3E4-2542,[COMERCIAL - 44] After Sales - Argentina e Chile - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,54 dias",25/05/2026,28/05/2026,3.54,IN DEVELOPMENT
BF3E4-2559,[COMERCIAL - 45] After Sales - Brasil - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 17,"3,54 dias",26/05/2026,30/05/2026,3.54,IN DEVELOPMENT
BF3E4-2623,[COMERCIAL - 52] Vendas de Veículos Leves (Light Vehicle Sales) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 18,"3,54 dias",28/05/2026,01/06/2026,3.54,IN DEVELOPMENT
BF3E4-2632,[COMERCIAL - 53] Powertrain de Veículos Leves (Light Vehicle Powertrain) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 19,"3,54 dias",28/05/2026,01/06/2026,3.54,IN DEVELOPMENT
BF3E4-2651,[COMERCIAL - 55] Ciclos de Planejamento de Veículos (Vehicle Cycle Plans) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 20,"3,54 dias",28/05/2026,01/06/2026,3.54,IN DEVELOPMENT
BF3E4-2662,[COMERCIAL - 56] Segmentação de Produtos e Previsões (Product Segmentation) - TAMANHO: M,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 21,"3,54 dias",28/05/2026,01/06/2026,3.54,IN DEVELOPMENT
BF3E4-2671,[COMERCIAL - 57] Governança e Histórico Consolidado (Governance & CCP Hist) - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 22,"3,54 dias",28/05/2026,01/06/2026,3.54,IN DEVELOPMENT
BF3E4-2679,[COMERCIAL - 58] Auditoria e Logs - TAMANHO: P,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 23,"3,54 dias",28/05/2026,01/06/2026,3.54,IN DEVELOPMENT
BF3E4-2685,[COMERCIAL - 59] Catálogo e Características Básicas - TAMANHO: G,SQUAD_6,SQUAD_6,COMERCIAL,QA,QA - 18,"3,54 dias",01/06/2026,04/06/2026,3.54,IN DEVELOPMENT
