squad,lake,id_historia,numero,titulo,papel,recurso,duracao_dias_uteis,data_inicio,data_fim
Squad 3,CLIENTE,[CLIENTE - 7],7,Assunto: Dados Públicos CNPJ - Target & Views (Parte 2) - TAMANHO: G,Analista,Analista 1,1.0,09/04/2026,09/04/2026
Squad 3,CLIENTE,[CLIENTE - 8],8,Assunto: Staging (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 8,10.0,01/04/2026,15/04/2026
Squad 3,CLIENTE,[CLIENTE - 9],9,Assunto: Staging (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 2,7.0,08/04/2026,16/04/2026
Squad 3,CLIENTE,[CLIENTE - 10],10,Assunto: Integrações Externas (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 6,10.0,09/04/2026,23/04/2026
Squad 3,CLIENTE,[CLIENTE - 11],11,Assunto: Integrações Externas (Parte 2) - TAMANHO: P,Engenheiro,Engenheiro 7,3.0,09/04/2026,13/04/2026
Squad 3,CLIENTE,[CLIENTE - 12],12,Assunto: Relacionamento Cliente (Parte 1) - TAMANHO: M,Engenheiro,Engenheiro 1,4.0,13/04/2026,16/04/2026
Squad 3,CLIENTE,[CLIENTE - 12],12,Assunto: Relacionamento Cliente (Parte 1) - TAMANHO: M,Analista,Analista 1,2.0,10/04/2026,13/04/2026
Squad 3,CLIENTE,[CLIENTE - 13],13,Assunto: Relacionamento Cliente (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 5,7.0,13/04/2026,22/04/2026
Squad 3,CLIENTE,[CLIENTE - 13],13,Assunto: Relacionamento Cliente (Parte 2) - TAMANHO: G,Analista,Analista 2,3.0,10/04/2026,14/04/2026
Squad 3,CLIENTE,[CLIENTE - 14],14,Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,Engenheiro,Engenheiro 7,2.0,14/04/2026,15/04/2026
Squad 3,CLIENTE,[CLIENTE - 14],14,Assunto: Relacionamento Cliente (Parte 3) - TAMANHO: M,Analista,Analista 1,5.0,14/04/2026,20/04/2026
Squad 3,CLIENTE,[CLIENTE - 15],15,Assunto: Serviços Financeiros (Parte 1) - TAMANHO: M,Engenheiro,Engenheiro 3,6.0,16/04/2026,24/04/2026
Squad 3,CLIENTE,[CLIENTE - 16],16,Assunto: Golden Cliente (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 4,9.0,16/04/2026,29/04/2026
Squad 3,CLIENTE,[CLIENTE - 16],16,Assunto: Golden Cliente (Parte 1) - TAMANHO: G,Analista,Analista 2,1.0,15/04/2026,15/04/2026
Squad 3,CLIENTE,[CLIENTE - 17],17,Assunto: Golden Cliente (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 7,3.0,16/04/2026,20/04/2026
Squad 3,CLIENTE,[CLIENTE - 17],17,Assunto: Golden Cliente (Parte 2) - TAMANHO: G,Analista,Analista 2,7.0,16/04/2026,27/04/2026
Squad 3,CLIENTE,[CLIENTE - 18],18,Assunto: Golden Cliente (Parte 3) - TAMANHO: G,Analista,Analista 1,10.0,22/04/2026,06/05/2026
Squad 3,CLIENTE,[CLIENTE - 19],19,Assunto: Golden Cliente (Parte 4) - TAMANHO: G,Analista,Analista 2,10.0,28/04/2026,12/05/2026
Squad 3,CLIENTE,[CLIENTE - 20],20,Assunto: Golden Cliente (Parte 5) - TAMANHO: M,Engenheiro,Engenheiro 8,3.0,16/04/2026,20/04/2026
Squad 3,CLIENTE,[CLIENTE - 20],20,Assunto: Golden Cliente (Parte 5) - TAMANHO: M,Analista,Analista 1,1.0,07/05/2026,07/05/2026
Squad 3,CLIENTE,[CLIENTE - 21],21,Assunto: Privacidade LGPD (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 1,5.0,17/04/2026,24/04/2026
Squad 3,CLIENTE,[CLIENTE - 21],21,Assunto: Privacidade LGPD (Parte 1) - TAMANHO: G,Analista,Analista 1,2.0,08/05/2026,11/05/2026
Squad 3,CLIENTE,[CLIENTE - 22],22,Assunto: Qualidade e Validação (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 2,6.0,17/04/2026,27/04/2026
Squad 3,CLIENTE,[CLIENTE - 22],22,Assunto: Qualidade e Validação (Parte 1) - TAMANHO: G,Analista,Analista 1,3.0,12/05/2026,14/05/2026
Squad 3,CLIENTE,[CLIENTE - 23],23,Assunto: Qualidade e Validação (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 7,4.0,22/04/2026,27/04/2026
Squad 3,CLIENTE,[CLIENTE - 23],23,Assunto: Qualidade e Validação (Parte 2) - TAMANHO: G,Analista,Analista 2,4.0,13/05/2026,18/05/2026
Squad 3,CLIENTE,[CLIENTE - 24],24,Assunto: Hub Cart e Hub User (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 8,9.0,22/04/2026,05/05/2026
Squad 3,CLIENTE,[CLIENTE - 25],25,Assunto: Hub Cart e Hub User (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 5,10.0,23/04/2026,07/05/2026
Squad 3,CLIENTE,[CLIENTE - 26],26,Assunto: Hub Cart e Hub User (Parte 3) - TAMANHO: G,Engenheiro,Engenheiro 6,10.0,24/04/2026,08/05/2026
Squad 3,CLIENTE,[CLIENTE - 27],27,Assunto: Hub Cart e Hub User (Parte 4) - TAMANHO: G,Engenheiro,Engenheiro 1,10.0,27/04/2026,11/05/2026
Squad 3,CLIENTE,[CLIENTE - 28],28,Assunto: Hub Cart e Hub User (Parte 5) - TAMANHO: G,Engenheiro,Engenheiro 3,8.0,27/04/2026,07/05/2026
Squad 3,CLIENTE,[CLIENTE - 28],28,Assunto: Hub Cart e Hub User (Parte 5) - TAMANHO: G,Analista,Analista 1,1.0,15/05/2026,15/05/2026
Squad 3,CLIENTE,[CLIENTE - 29],29,Assunto: Visão 360 (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 2,6.0,28/04/2026,06/05/2026
Squad 3,CLIENTE,[CLIENTE - 30],30,Assunto: Visão 360 (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 7,5.0,28/04/2026,05/05/2026
Squad 3,CLIENTE,[CLIENTE - 30],30,Assunto: Visão 360 (Parte 2) - TAMANHO: G,Analista,Analista 1,5.0,18/05/2026,22/05/2026
Squad 3,CLIENTE,[CLIENTE - 31],31,Assunto: Visão 360 (Parte 3) - TAMANHO: P,Analista,Analista 2,6.0,19/05/2026,26/05/2026
Squad 3,CLIENTE,[CLIENTE - 32],32,Assunto: EDI - Envio CCDB (Parte 1) - TAMANHO: G,Engenheiro,Engenheiro 4,7.0,30/04/2026,11/05/2026
Squad 3,CLIENTE,[CLIENTE - 33],33,Assunto: EDI - Envio CCDB (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 7,7.0,06/05/2026,14/05/2026
Squad 3,CLIENTE,[CLIENTE - 34],34,Assunto: API - Carga Diária e Integrações - TAMANHO: G,Engenheiro,Engenheiro 8,10.0,06/05/2026,19/05/2026
Squad 3,CLIENTE,[CLIENTE - 35],35,Assunto: EDI - Staging Salesforce e Venda Direta (Parte 1) - TAMANHO: P,Engenheiro,Engenheiro 2,2.0,07/05/2026,08/05/2026
Squad 3,CLIENTE,[CLIENTE - 36],36,Assunto: EDI - SSH/FTP On-Premise (Parte 2) - TAMANHO: G,Engenheiro,Engenheiro 3,10.0,08/05/2026,21/05/2026
Squad 3,CLIENTE,[CLIENTE - 37],37,Assunto: EDI - SSH/FTP On-Premise (Parte 3) - TAMANHO: G,Engenheiro,Engenheiro 5,7.0,08/05/2026,18/05/2026
Squad 3,CLIENTE,[CLIENTE - 38],38,Assunto: Marketing Cloud - Target & Views (Parte 4) - TAMANHO: P,Engenheiro,Engenheiro 2,2.0,11/05/2026,12/05/2026
Squad 3,CLIENTE,[CLIENTE - 39],39,Assunto: Dados Públicos CNPJ - Staging (Parte 3) - TAMANHO: M,Engenheiro,Engenheiro 6,4.0,11/05/2026,14/05/2026
Squad 3,CLIENTE,[CLIENTE - 40],40,Assunto: Dados Públicos CNPJ - Target & Views (Parte 4) - TAMANHO: P,Engenheiro,Engenheiro 1,1.0,12/05/2026,12/05/2026
Squad 3,CLIENTE,[CLIENTE - 41],41,Assunto: Relacionamento Cliente (Parte 4) - TAMANHO: M,Engenheiro,Engenheiro 4,3.0,12/05/2026,14/05/2026
Squad 3,CLIENTE,[CLIENTE - 42],42,Assunto: Hub Cart e Hub User (Parte 6) - TAMANHO: P,Engenheiro,Engenheiro 1,1.0,13/05/2026,13/05/2026
